CLOSED
Version	1.0
Language	English
Run	1
RunSerial	823
Instrument	TGA Q500 V6.7 Build 203
Module	TGA
InstSerial	0500-0499
Operator	at615
File	C:\TA\Data\TGA\ak794\anders\ZIF8cellulose rods sample3.001
FurnaceType	Standard
Sample	ZIF8 cellulose rods in air s3
Size	6.58800	mg
ProcName
Method	
Comment	
Xcomment	Pan: Platinum
Xcomment	Gas1: Air
Xcomment	Gas2: Air
Xcomment	Balance Gas: Air 40.0 ml/min
Xcomment	Sample Gas: Air 60.0 ml/min
Text	Cellulose rods and zif8 degradation in air. Sample 3
Kcell	1.00000
TempCal	3	pts	20.00	20.00,364.00	356.00,776.00	770.00
InstCalDate	Weight Date 2013-03-01 10:10:44
Controls	Gas 2  Event Off  Sampling 2.0
Nsig	5
Sig1	Time (min)
Sig2	Temperature (°C)
Sig3	Weight (mg)
Sig4	Balance Purge Flow (mL/min)
Sig5	Sample Purge Flow (mL/min)
AirCoolTime	20.0 min
AutoAnalysis	Off
MacroFile
Date	2013-03-11
Time	18:35:16
OrgMethod	1: Ramp 10.00 °C/min to 600.00 °C
OrgFile	C:\Users\AIM_Group\Desktop\post doc cambridge\Students files\Internships\Anders\anders tga\anders\ZIF8cellulose rods sample3.001
7.33333E-4 17.91302 6.588430 40.00728 60.00686
0.01666667 17.93209 6.588140 40.00306 59.99593
0.05000000 17.96540 6.587989 39.97847 59.99885
0.08333334 18.02558 6.587891 40.01383 60.00093
0.1166666 18.10902 6.587568 40.00415 59.99586
0.1500000 18.21593 6.588085 39.99294 60.00284
0.1833334 18.34525 6.587910 40.00744 59.99770
0.2166667 18.49248 6.588032 39.98512 59.99150
0.2500000 18.65753 6.587971 40.01031 60.01888
0.2833333 18.83759 6.587708 39.99872 59.98965
0.3166666 19.03227 6.587772 39.99004 59.99226
0.3500000 19.23667 6.587671 40.01630 60.00768
0.3833333 19.45400 6.588018 40.00104 59.99311
0.4166666 19.68041 6.587934 39.98620 60.00242
0.4500000 19.91752 6.587369 40.01184 60.00806
0.4833333 20.16113 6.587275 39.99994 59.99825
0.5166666 20.41283 6.587060 40.00194 59.99875
0.5500000 20.67332 6.587188 39.98382 59.99158
0.5833332 20.93810 6.586708 40.00838 60.00239
0.6166668 21.20960 6.586575 40.00526 59.99708
0.6500000 21.48703 6.586499 39.99740 60.00826
0.6833334 21.76864 6.586219 39.98809 59.99700
0.7166666 22.05529 6.586122 40.00552 60.00025
0.7500000 22.34550 6.585493 40.00334 60.00826
0.7833334 22.63985 6.585274 39.99376 59.99550
0.8166668 22.93830 6.585163 40.00523 60.00289
0.8500000 23.24122 6.584849 40.00765 59.99446
0.8833332 23.54494 6.584530 39.98796 59.99676
0.9166668 23.85282 6.583869 40.00750 60.00302
0.9500000 24.16039 6.583758 39.99236 59.99861
0.9833334 24.47241 6.583497 40.00041 59.99491
1.016667 24.78518 6.583257 40.01102 60.00688
1.050000 25.10180 6.582842 39.99568 59.99470
1.083334 25.41774 6.582376 39.98944 59.99849
1.116667 25.73685 6.582212 40.00758 60.00120
1.150000 26.05486 6.582656 40.00435 60.01000
1.183333 26.37588 6.582397 39.98917 59.98610
1.216667 26.69638 6.581466 40.00428 60.00074
1.250000 27.01832 6.580372 40.00726 59.99936
