CLOSED
Version	1.0
Language	English
Run	1
RunSerial	822
Instrument	TGA Q500 V6.7 Build 203
Module	TGA
InstSerial	0500-0499
Operator	at615
File	C:\TA\Data\TGA\ak794\anders\ZIF8cellulose rods sample2.001
FurnaceType	Standard
Sample	ZIF8 cellulose rods in air s2
Size	1.91300	mg
ProcName
Method	
Comment	
Xcomment	Pan: Platinum
Xcomment	Gas1: Air
Xcomment	Gas2: Air
Xcomment	Balance Gas: Air 40.0 ml/min
Xcomment	Sample Gas: Air 60.0 ml/min
Text	Cellulose rods and zif8 degradation in air. Sample 2
Kcell	1.00000
TempCal	3	pts	20.00	20.00,364.00	356.00,776.00	770.00
InstCalDate	Weight Date 2013-03-01 10:10:44
Controls	Gas 2  Event Off  Sampling 2.0
Nsig	5
Sig1	Time (min)
Sig2	Temperature (°C)
Sig3	Weight (mg)
Sig4	Balance Purge Flow (mL/min)
Sig5	Sample Purge Flow (mL/min)
AirCoolTime	20.0 min
AutoAnalysis	Off
MacroFile
Date	2013-03-11
Time	16:25:15
OrgMethod	1: Ramp 10.00 °C/min to 600.00 °C
OrgFile	C:\Users\AIM_Group\Desktop\post doc cambridge\Students files\Internships\Anders\anders tga\anders\ZIF8cellulose sponge extraction component sample2.001
7.33333E-4 18.68135 1.913044 39.98864 59.99692
0.01666667 18.69220 1.912846 39.99882 60.01804
0.05000000 18.71738 1.913158 40.00153 59.99714
0.08333334 18.76951 1.913452 40.00747 59.99682
0.1166666 18.84739 1.913960 40.00814 59.99521
0.1500000 18.94832 1.913820 39.99212 60.00051
0.1833334 19.07352 1.913978 39.98887 60.00184
0.2166667 19.21843 1.914420 40.00632 60.00403
0.2500000 19.38068 1.914537 39.99998 59.99729
0.2833333 19.55965 1.915030 39.99719 59.99532
0.3166666 19.75130 1.915140 40.00421 59.99360
0.3500000 19.95625 1.915239 40.00099 60.00544
0.3833333 20.17365 1.915365 39.99286 60.00510
0.4166666 20.40086 1.915278 40.00617 59.99268
0.4500000 20.63827 1.915839 40.01070 59.99885
0.4833333 20.88252 1.915638 39.99422 60.00579
0.5166666 21.13425 1.915935 40.01224 59.99700
0.5500000 21.39279 1.916307 39.98872 60.00516
0.5833332 21.66011 1.916475 40.00140 60.00130
0.6166668 21.93196 1.916540 40.00092 59.99304
0.6500000 22.21018 1.915949 40.00460 60.01016
0.6833334 22.49217 1.916435 39.98042 59.99592
0.7166666 22.78004 1.916592 40.02072 59.99800
0.7500000 23.07096 1.916762 39.98675 59.99328
0.7833334 23.36688 1.916526 39.99230 60.00566
0.8166668 23.66451 1.916522 40.00821 59.99766
0.8500000 23.96741 1.916628 40.00324 60.00086
0.8833332 24.27332 1.916205 39.99640 60.00792
0.9166668 24.58045 1.916247 39.99620 59.99296
0.9500000 24.89108 1.916237 40.00004 59.99887
0.9833334 25.20348 1.916375 40.00857 59.99998
1.016667 25.51800 1.916466 39.99185 60.00562
1.050000 25.83334 1.916236 40.00556 59.99510
1.083334 26.14979 1.916341 40.00607 59.99878
1.116667 26.46785 1.916390 40.00040 60.00815
1.150000 26.78790 1.916444 39.99135 59.99636
1.183333 27.10758 1.916395 40.00975 59.99898
1.216667 27.42956 1.916361 39.99475 59.99947
