CLOSED
Version	1.0
Language	English
Run	1
RunSerial	821
Instrument	TGA Q500 V6.7 Build 203
Module	TGA
InstSerial	0500-0499
Operator	at615
File	C:\TA\Data\TGA\ak794\anders\ZIF8cellulosesponge1.001
FurnaceType	Standard
Sample	ZIF8 cellulose sponge in air 1
Size	5.56500	mg
ProcName
Method	
Comment	
Xcomment	Pan: Platinum
Xcomment	Gas1: Air
Xcomment	Gas2: Air
Xcomment	Balance Gas: Air 40.0 ml/min
Xcomment	Sample Gas: Air 60.0 ml/min
Text	Cellulose sponge and zif8 degradation in air
Kcell	1.00000
TempCal	3	pts	20.00	20.00,364.00	356.00,776.00	770.00
InstCalDate	Weight Date 2013-03-01 10:10:44
Controls	Gas 2  Event Off  Sampling 2.0
Nsig	5
Sig1	Time (min)
Sig2	Temperature (°C)
Sig3	Weight (mg)
Sig4	Balance Purge Flow (mL/min)
Sig5	Sample Purge Flow (mL/min)
AirCoolTime	20.0 min
AutoAnalysis	Off
MacroFile
Date	2013-03-11
Time	13:44:24
OrgMethod	1: Ramp 10.00 °C/min to 600.00 °C
OrgFile	C:\Users\AIM_Group\Desktop\post doc cambridge\Students files\Internships\Anders\anders tga\anders\ZIF8cellulosesponge sample 1.001
.001116667 17.77372 5.565514 40.00012 60.00007
0.01666667 17.78175 5.565050 40.00084 60.00713
0.05000000 17.80943 5.564350 39.99631 59.99060
0.08333334 17.86082 5.565111 39.98916 60.00380
0.1166666 17.94139 5.564332 40.00913 59.99318
0.1500000 18.04581 5.563663 40.00936 59.99555
0.1833334 18.17238 5.563886 39.98192 60.01526
0.2166667 18.31864 5.563582 40.01675 59.99197
0.2500000 18.48250 5.562230 39.99761 60.00830
0.2833333 18.66335 5.561826 39.98306 59.99429
0.3166666 18.85794 5.561711 40.00238 60.00250
0.3500000 19.06499 5.561269 40.01736 60.00576
0.3833333 19.28150 5.560813 39.98317 59.99638
0.4166666 19.51164 5.560121 40.01721 59.99044
0.4500000 19.74898 5.559549 39.97790 60.01428
0.4833333 19.99469 5.558926 40.02076 59.98938
0.5166666 20.24968 5.557930 39.99712 59.99256
0.5500000 20.50963 5.557342 40.00324 59.99969
0.5833332 20.77583 5.557201 39.98164 60.01944
0.6166668 21.05084 5.556287 40.00170 59.99676
0.6500000 21.32893 5.555896 40.00752 59.99500
0.6833334 21.61418 5.555236 40.00048 60.00850
0.7166666 21.90124 5.554429 40.00765 59.98238
0.7500000 22.19432 5.553803 39.99830 60.01376
0.7833334 22.49024 5.553132 39.98710 59.99946
0.8166668 22.79062 5.552406 40.01215 59.98945
0.8500000 23.09453 5.551607 39.99658 59.99945
0.8833332 23.40106 5.550778 40.00372 60.00395
0.9166668 23.70913 5.550338 39.99102 60.01016
0.9500000 24.02058 5.550049 40.00548 59.98590
0.9833334 24.33256 5.549443 40.00294 60.01146
1.016667 24.64798 5.548297 40.00150 59.98972
1.050000 24.96567 5.546976 39.99810 59.99800
1.083334 25.28336 5.546023 39.99618 60.00572
1.116667 25.60343 5.545135 40.00120 59.99708
1.150000 25.92456 5.544884 39.99038 60.01065
1.183333 26.24602 5.544495 40.01191 59.99403
1.216667 26.56818 5.544068 39.99425 60.01178
1.250000 26.88994 5.543004 40.01150 59.98406
